Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-24 00:00:00-04:00,48.08361840791665,48.77849327342778,47.99218869776146,48.696205139160156,561400,0.0,0.0
2014-09-25 00:00:00-04:00,48.50420323018822,48.59563643301739,48.06533432006836,48.06533432006836,533200,0.0,0.0
2014-09-26 00:00:00-04:00,48.202484242045244,48.5407783860284,47.97390645787442,48.42191696166992,442100,0.0,0.0
2014-09-29 00:00:00-04:00,48.01047588733683,48.34877351656643,47.80018474603798,48.129337310791016,661700,0.0,0.0
2014-09-30 00:00:00-04:00,48.202472460164216,48.21161403465574,47.85503333655766,47.88246154785156,662900,0.0,0.0
2014-10-01 00:00:00-04:00,47.907210818485545,47.916374615947326,47.47643891552058,47.586421966552734,1069100,0.127,0.0
2014-10-02 00:00:00-04:00,47.44894807153528,47.943877087816475,47.30230282555919,47.723907470703125,840200,0.0,0.0
2014-10-03 00:00:00-04:00,48.06301378636525,48.36547150892188,47.998856723331606,48.21882629394531,699500,0.0,0.0
2014-10-06 00:00:00-04:00,48.38380380359107,48.43879357539159,47.86137999369926,48.06301498413086,602500,0.0,0.0
2014-10-07 00:00:00-04:00,47.77889029541108,48.035518545646376,47.201473236083984,47.201473236083984,653500,0.0,0.0
2014-10-08 00:00:00-04:00,47.146490683438344,48.200505801503255,46.981514343283855,48.136348724365234,882700,0.0,0.0
2014-10-09 00:00:00-04:00,48.09053074016765,48.127189435845885,47.4764512615946,47.53144454956055,930600,0.0,0.0
2014-10-10 00:00:00-04:00,47.53142584141376,48.04468234188435,47.201473236083984,47.201473236083984,760800,0.0,0.0
2014-10-13 00:00:00-04:00,47.164817645190034,47.531432479265476,46.844032287597656,46.844032287597656,650300,0.0,0.0
2014-10-14 00:00:00-04:00,47.018175802857925,47.54059970651091,46.99068091202306,47.173988342285156,618100,0.0,0.0
2014-10-15 00:00:00-04:00,46.47741938282196,46.73405117584694,45.799186456816244,46.40409851074219,972800,0.0,0.0
2014-10-16 00:00:00-04:00,45.75336116089392,46.29411619007037,45.716702469652105,46.11997604370117,805500,0.0,0.0
2014-10-17 00:00:00-04:00,46.51407986433922,47.146486785108216,46.449922792506065,47.027339935302734,574300,0.0,0.0
2014-10-20 00:00:00-04:00,46.95401106218878,47.37561563556222,46.74320877550207,47.35728454589844,547800,0.0,0.0
2014-10-21 00:00:00-04:00,47.65058656561271,48.47546476259258,47.58642599275911,48.46630096435547,596500,0.0,0.0
2014-10-22 00:00:00-04:00,48.5579426980228,48.704587912999365,48.18216411612674,48.21882629394531,598300,0.0,0.0
2014-10-23 00:00:00-04:00,47.760564546975566,47.760564546975566,45.56088259635188,46.34910202026367,2997700,0.0,0.0
2014-10-24 00:00:00-04:00,46.275787016172416,47.173989602523605,46.07414848786756,46.97235107421875,1213300,0.0,0.0
2014-10-27 00:00:00-04:00,46.880710451587795,47.10067662997953,46.688235675120815,47.06401443481445,683800,0.0,0.0
2014-10-28 00:00:00-04:00,47.32979907482444,47.53143760493997,46.89902712277713,47.338966369628906,1326400,0.0,0.0
2014-10-29 00:00:00-04:00,47.50394176241635,47.77890116397197,47.29313594171528,47.439781188964844,761700,0.0,0.0
2014-10-30 00:00:00-04:00,47.28397342688665,48.099687855373055,47.24731124000446,47.84305953979492,652300,0.0,0.0
2014-10-31 00:00:00-04:00,48.52129216718859,48.57628544711696,48.31965713338169,48.53962326049805,745400,0.0,0.0
2014-11-03 00:00:00-05:00,48.49379197288184,48.70459427844283,48.31048455612935,48.60377502441406,1041600,0.0,0.0
2014-11-04 00:00:00-05:00,48.52130772437216,48.915417616140864,48.365498625733196,48.906253814697266,615300,0.0,0.0
2014-11-05 00:00:00-05:00,49.16287167271881,49.27285474796569,48.851250045936894,49.26369094848633,942800,0.0,0.0
2014-11-06 00:00:00-05:00,49.107881786720895,49.272854651117484,48.69544088498213,48.94290542602539,1013600,0.0,0.0
2014-11-07 00:00:00-05:00,48.787091940503046,49.10788085635526,48.64961397339397,48.997894287109375,608300,0.0,0.0
2014-11-10 00:00:00-05:00,48.93373091004827,48.96122580067432,48.576283346716025,48.65877151489258,1297400,0.0,0.0
2014-11-11 00:00:00-05:00,48.576287991135096,48.81458522404092,48.49379981507179,48.74126434326172,395200,0.0,0.0
2014-11-12 00:00:00-05:00,48.475473914529545,48.878751039068376,48.191350663658035,48.81459045410156,678000,0.0,0.0
2014-11-13 00:00:00-05:00,48.97039389303561,48.97039389303561,48.58544793650638,48.83291244506836,542000,0.0,0.0
2014-11-14 00:00:00-05:00,48.741269565466666,48.97956682390397,48.576293195664256,48.81459045410156,476400,0.0,0.0
2014-11-17 00:00:00-05:00,48.79625551863327,48.87874369113404,48.521292612764974,48.86041259765625,488600,0.0,0.0
2014-11-18 00:00:00-05:00,48.93373045338226,49.24535203066346,48.814580101284,49.034549713134766,445500,0.0,0.0
2014-11-19 00:00:00-05:00,49.071208764682254,49.18119181543616,48.64960415654386,48.79624938964844,663500,0.0,0.0
2014-11-20 00:00:00-05:00,48.52129573694628,49.01622480381832,48.41131266529654,49.00706100463867,377200,0.0,0.0
2014-11-21 00:00:00-05:00,49.419507628325974,49.63031350812044,49.19954144393965,49.30952453613281,617400,0.0,0.0
2014-11-24 00:00:00-05:00,49.51114592315678,49.70361714172303,49.208688154297036,49.61196517944336,759000,0.0,0.0
2014-11-25 00:00:00-05:00,49.66695473035072,49.69445311594702,49.26368120335342,49.42865753173828,527700,0.0,0.0
2014-11-26 00:00:00-05:00,49.474468256841526,49.54779260075723,49.20867275459284,49.33699035644531,493100,0.0,0.0
2014-11-28 00:00:00-05:00,49.4286673095061,49.62113856526287,49.1903665674558,49.26369094848633,284900,0.0,0.0
2014-12-01 00:00:00-05:00,49.07120784441311,49.181190893104414,48.832907159900856,48.85123825073242,742900,0.0,0.0
2014-12-02 00:00:00-05:00,48.75959793860373,48.997895183732766,48.33799323767604,48.988731384277344,1093200,0.0,0.0
2014-12-03 00:00:00-05:00,48.97956718575265,49.217867942249576,48.33799629433585,49.18120574951172,1635400,0.0,0.0
2014-12-04 00:00:00-05:00,49.181201739553664,49.346178097123634,48.82375413025167,48.997894287109375,745600,0.0,0.0
2014-12-05 00:00:00-05:00,49.1445453432315,49.78611975426936,49.1445453432315,49.5753173828125,715800,0.0,0.0
2014-12-08 00:00:00-05:00,49.566137049146484,50.12521958888817,49.446986706310604,49.86859130859375,906200,0.0,0.0
2014-12-09 00:00:00-05:00,49.28200258396191,49.74943309141296,49.15368846412427,49.68527603149414,526100,0.0,0.0
2014-12-10 00:00:00-05:00,49.501979700519435,49.83193236594458,49.09870616294332,49.13536834716797,648700,0.0,0.0
2014-12-11 00:00:00-05:00,49.24534606933594,49.776937194116876,49.135363024873584,49.24534606933594,648400,0.0,0.0
2014-12-12 00:00:00-05:00,48.80540814920017,49.04370531728534,47.788055419921875,47.788055419921875,599300,0.0,0.0
2014-12-15 00:00:00-05:00,48.04469657863997,48.23717131964885,47.201487222977164,47.40312576293945,754400,0.0,0.0
2014-12-16 00:00:00-05:00,47.15564576775816,48.09051028779722,46.999833266269526,47.31145477294922,718800,0.0,0.0
2014-12-17 00:00:00-05:00,47.49476736875692,48.66792917140104,47.37561703058276,48.594608306884766,981900,0.0,0.0
2014-12-18 00:00:00-05:00,49.144534135626955,49.89609146118164,48.99788888908698,49.89609146118164,1119900,0.0,0.0
2014-12-19 00:00:00-05:00,50.09772467967843,50.09772467967843,49.63945789574566,49.9144172668457,1427500,0.0,0.0
2014-12-22 00:00:00-05:00,50.00606934168853,50.45516880166276,49.85942412059317,50.41850662231445,603500,0.0,0.0
2014-12-23 00:00:00-05:00,50.519352028534705,51.08760561380677,50.48269332650076,50.7943115234375,445900,0.0,0.0
2014-12-24 00:00:00-05:00,50.84927344266142,50.8676045305164,50.40017402725554,50.57431411743164,138300,0.0,0.0
2014-12-26 00:00:00-05:00,50.665982766262495,50.77596932965776,50.53766860526668,50.64765167236328,411000,0.0,0.0
2014-12-29 00:00:00-05:00,50.53766273241683,51.21589914267689,50.53766273241683,50.720970153808594,265000,0.0,0.0
2014-12-30 00:00:00-05:00,50.52850257505119,50.858455258068446,50.29020186118383,50.446014404296875,485100,0.0,0.0
2014-12-31 00:00:00-05:00,50.718854841980615,50.718854841980615,49.73589595586073,49.76345443725586,448900,0.127,0.0
2015-01-02 00:00:00-05:00,50.07578442059086,50.1584633488166,49.3041155919452,49.75425720214844,617800,0.0,0.0
2015-01-05 00:00:00-05:00,49.368428917700534,49.48785132120658,48.725370919409485,48.86316680908203,505300,0.0,0.0
2015-01-06 00:00:00-05:00,48.789681683424995,48.8447986435442,48.10069164685857,48.201744079589844,669000,0.0,0.0
2015-01-07 00:00:00-05:00,47.61380052736869,48.743743625647824,47.61380052736869,48.25685501098633,1254300,0.0,0.0
2015-01-08 00:00:00-05:00,48.70700014683196,49.33168469375925,48.57838924088535,49.00096893310547,1059400,0.0,0.0
2015-01-09 00:00:00-05:00,49.0560936336892,49.20307803952711,48.275236130362806,48.293609619140625,537700,0.0,0.0
2015-01-12 00:00:00-05:00,48.403841066362354,48.440588039377324,47.74241307401402,47.86183547973633,347700,0.0,0.0
2015-01-13 00:00:00-05:00,48.18338146206561,48.578402785835145,47.26472787271978,47.59544372558594,672700,0.0,0.0
2015-01-14 00:00:00-05:00,46.98912018812247,47.4943788290345,46.7135213800028,47.136104583740234,591900,0.0,0.0
2015-01-15 00:00:00-05:00,47.13610982008372,47.53113108426138,46.759462045447435,46.85132598876953,505300,0.0,0.0
2015-01-16 00:00:00-05:00,46.75027654671453,47.6505565656709,46.63085060922883,47.63218307495117,614400,0.0,0.0
2015-01-20 00:00:00-05:00,47.916967092347925,47.999646048683736,46.95238160468679,47.182044982910156,650200,0.0,0.0
2015-01-21 00:00:00-05:00,47.02585576730745,47.54030281783222,46.79619246867058,47.246334075927734,467600,0.0,0.0
2015-01-22 00:00:00-05:00,47.50356584174552,48.20174437892388,47.07180113246412,48.01801300048828,638100,0.0,0.0
2015-01-23 00:00:00-05:00,47.99963352815362,48.100685948914354,47.531121900716926,47.54949188232422,490500,0.0,0.0
2015-01-26 00:00:00-05:00,47.51275143633815,47.70566779494051,47.25552612048398,47.61380386352539,711200,0.0,0.0
2015-01-27 00:00:00-05:00,46.78701990909421,47.430078017002785,46.78701990909421,47.145294189453125,480000,0.0,0.0
2015-01-28 00:00:00-05:00,47.32901966882759,47.55868299980731,46.22663497924805,46.22663497924805,654000,0.0,0.0
2015-01-29 00:00:00-05:00,46.30014020122492,46.787025460054195,46.11640879082617,46.713531494140625,667100,0.0,0.0
2015-01-30 00:00:00-05:00,46.29094758851883,46.88807374314028,45.91429980765473,45.996978759765625,828000,0.0,0.0
2015-02-02 00:00:00-05:00,45.97859516109569,47.01667433061552,45.77649382600227,46.906436920166016,901800,0.0,0.0
2015-02-03 00:00:00-05:00,46.81457439926654,47.17284864907767,45.72137816210124,46.84213638305664,1225900,0.0,0.0
2015-02-04 00:00:00-05:00,46.7686350731017,47.95369856245726,46.68595614350982,47.70566177368164,1398500,0.0,0.0
2015-02-05 00:00:00-05:00,47.32902345201491,48.29360881835583,47.29227647506859,48.247676849365234,685000,0.0,0.0
2015-02-06 00:00:00-05:00,48.42221583059299,48.94584794452867,48.27523143903884,48.697811126708984,737500,0.0,0.0
2015-02-09 00:00:00-05:00,48.357922058817024,48.74375837008284,48.284431597481024,48.624332427978516,718000,0.0,0.0
2015-02-10 00:00:00-05:00,49.0285268838019,49.0285268838019,48.35791037831207,48.697811126708984,654100,0.0,0.0
2015-02-11 00:00:00-05:00,48.87236342548742,49.26738468274765,48.70700552689548,49.092838287353516,470700,0.0,0.0
2015-02-12 00:00:00-05:00,49.16633383799123,49.46948765898023,48.92748197477822,49.33169174194336,521000,0.0,0.0
2015-02-13 00:00:00-05:00,49.258192275079146,49.717518955947355,49.17551333234749,49.65321350097656,521800,0.0,0.0
2015-02-17 00:00:00-05:00,49.51541108278823,49.91043225669823,49.32249123888093,49.58890151977539,773900,0.0,0.0
2015-02-18 00:00:00-05:00,49.423546936371494,49.469478900585024,49.267377557168636,49.3592414855957,644200,0.0,0.0
2015-02-19 00:00:00-05:00,49.27655305921448,49.59808375556145,49.01933130564376,49.45109939575195,490200,0.0,0.0
2015-02-20 00:00:00-05:00,49.23981958769895,49.83694568428754,48.670255475391905,49.772640228271484,901500,0.0,0.0
2015-02-23 00:00:00-05:00,49.726704208072434,49.726704208072434,49.1295781601438,49.3592414855957,613500,0.0,0.0
2015-02-24 00:00:00-05:00,49.304121839859725,49.93799487137734,49.304121839859725,49.478668212890625,932300,0.0,0.0
2015-02-25 00:00:00-05:00,49.40517757094066,49.46029803522531,49.04690331405174,49.24900817871094,487800,0.0,0.0
2015-02-26 00:00:00-05:00,49.19388228558802,49.359240155809225,48.96421896632348,49.120391845703125,594500,0.0,0.0
2015-02-27 00:00:00-05:00,49.10202437807602,49.32249922913848,48.863172534309676,48.91829299926758,688400,0.0,0.0
